ASIN, 価格, 下落%, Keepa URL, 再通知間隔
B009SIZDK2,5500,50, https://keepa.com/#!product/5-B009SIZDK2,
B00475BLF2,6396,50, https://keepa.com/#!product/5-B00475BLF2,
B013HHJY7C,5480,50, https://keepa.com/#!product/5-B013HHJY7C,
B086MTHR1M,5950,50, https://keepa.com/#!product/5-B086MTHR1M,
B079MXZSP5,8150,50, https://keepa.com/#!product/5-B079MXZSP5,
B07YWZKC5L,0,50, https://keepa.com/#!product/5-B07YWZKC5L,
B013S7Z2RW,0,50, https://keepa.com/#!product/5-B013S7Z2RW,
B079DLCV5L,0,50, https://keepa.com/#!product/5-B079DLCV5L,
B08CXL39LR,0,50, https://keepa.com/#!product/5-B08CXL39LR,
B014QI5AWY,8800,50, https://keepa.com/#!product/5-B014QI5AWY,
B009SIZA4G,6455,50, https://keepa.com/#!product/5-B009SIZA4G,
B07RMR6SZV,13000,50, https://keepa.com/#!product/5-B07RMR6SZV,
B07BB641C4,3644,50, https://keepa.com/#!product/5-B07BB641C4,
B07DP4368X,5188,50, https://keepa.com/#!product/5-B07DP4368X,
B08Y5DPPZR,11800,50, https://keepa.com/#!product/5-B08Y5DPPZR,
B071CZC5FP,6400,50, https://keepa.com/#!product/5-B071CZC5FP,
B01MYCLE7B,0,50, https://keepa.com/#!product/5-B01MYCLE7B,
B07NGJFGZW,6799,50, https://keepa.com/#!product/5-B07NGJFGZW,
B00DLTBSVW,7370,50, https://keepa.com/#!product/5-B00DLTBSVW,
B07HMJTG6B,7980,50, https://keepa.com/#!product/5-B07HMJTG6B,
B08Q11XLCC,8908,50, https://keepa.com/#!product/5-B08Q11XLCC,
B07QFWDRBP,7600,50, https://keepa.com/#!product/5-B07QFWDRBP,
B07PY5YSZG,8480,50, https://keepa.com/#!product/5-B07PY5YSZG,
B07MV1JDCX,0,50, https://keepa.com/#!product/5-B07MV1JDCX,
B07MKM19W8,6999,50, https://keepa.com/#!product/5-B07MKM19W8,
B008C5YI1W,6980,50, https://keepa.com/#!product/5-B008C5YI1W,
B00TDP7K38,0,50, https://keepa.com/#!product/5-B00TDP7K38,
B01LX4WDRM,5714,50, https://keepa.com/#!product/5-B01LX4WDRM,
B074N2F6X5,8480,50, https://keepa.com/#!product/5-B074N2F6X5,
